"房源标题";"价格";"出租方式";"户型";"建筑面积";"朝向";"楼层";"装修";"小区名称";"地址"
"双玺花园二期 朝东南 一线海景 早晨看初升的太阳";"42000元/月（押二付一）";"整租";"5室2厅3卫";"252平米";"东";"中层";"豪华装修";"海上双玺花园二期 (南山/蛇口)";"深圳南山蛇口望海路南侧"
"半岛城邦三期 7栋朝南 全海景";"15000元/月（押二付一）";"整租";"2室2厅1卫";"86平米";"南";"低层";"精装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"半岛城邦三期 朝南看海 精装修2房 全齐";"14500元/月（押二付一）";"整租";"2室2厅1卫";"85平米";"南";"低层";"精装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"浅水湾楼层好客厅出阳台，车位多，业主诚意出租，看房预约！";"24000元/月（押二付一）";"整租";"4室2厅2卫";"180平米";"南北";"中层";"简装修";"卓越浅水湾 (南山/科技园)";"南山区科技园南区高新南环路61号"
"半岛城邦三期 高层海景 中间位置 安静居家 随时入住 配置齐全";"15000元/月（押二付一）";"整租";"2室2厅1卫";"87平米";"南";"高层";"豪华装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"南海玫瑰花园一期 豪华装修大3房 带入户花园 全新配置 拎包即住";"15000元/月（押二付一）";"整租";"3室2厅2卫";"127平米";"南";"高层";"豪华装修";"南海玫瑰花园二期 (南山/蛇口)";"蛇口东角头公园南路与望海路交汇处"
"半岛城邦三期 业主自己精心设计搭配 如图所示 精装海景房";"18000元/月（押二付一）";"整租";"2室2厅1卫";"85平米";"南";"低层";"精装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"精装修 阳光带二期三房 13000租金 近地铁2号线科苑站 高绿化";"14000元/月（押二付一）";"整租";"3室2厅2卫";"118平米";"西南";"高层";"简装修";"阳光带海滨城 (南山/科技园)";"科技园南区高新南十道和沙河西路交汇处"
"阳光带二期精装3房，家私电器全齐，看房方便";"14000元/月（押二付一）";"整租";"3室2厅2卫";"118平米";"南";"低层";"豪华装修";"阳光带海滨城二期 (南山/科技园)";"科苑南路与高新南十道交汇处"
"半岛城邦二期 精装修 设计简单舒服 朝南看海 3+1房";"18000元/月（押二付一）";"整租";"4室2厅2卫";"156平米";"南";"低层";"精装修";"半岛城邦二期 (南山/蛇口)";"南山蛇口望海路与金世纪路交汇处"
"古朴却文雅。东海花园二期，品质小区家私齐全 口物业";"14500元/月（押二付一）";"整租";"3室2厅1卫";"120平米";"暂无";"中层";"简装修";"东海花园 (福田/农科中心)";"香林路与农轩路交汇处"
"半岛城邦三期 豪华装修 2房2厅 家具齐全 滨海长廊 高层看海";"14500元/月（押二付一）";"整租";"2室2厅1卫";"85平米";"南";"中层";"豪华装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"月朗苑精装2房 钥匙在手 随时看房 临万科第五园 旭景家园";"4500元/月（押二付一）";"整租";"3室2厅1卫";"70平米";"东南";"高层";"简装修";"中海月朗苑 (龙岗/坂田)";"布吉镇雅园路"
"缇香名苑福田中心繁华路段地铁口喜缺高品质小区情侣房";"5700元/月（押二付一）";"整租";"1室1厅1卫";"46平米";"南";"高层";"简装修";"缇香名苑 (福田/景田)";"香梅路与红荔西路交汇处"
"公园大地花园龙岗中心区精装3房背靠龙城公园全新家私电拎包入住";"6500元/月（押二付一）";"整租";"3室2厅2卫";"122平米";"南";"高层";"精装修";"公园大地花园(龙岗/龙岗中心城)";"龙翔大道与怡翠绿交汇处"
"满京华喜悦里 南联站200米 三房带家私家电 舒适便捷";"4000元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"东南";"中层";"毛坯";"满京华喜悦里 (龙岗/龙岗中心城)";"龙岗大道与碧新路交汇处（地铁龙岗线南联站南侧200米"
"全新欧式家私，智能家电，滨海豪宅社区，看一线海景，居家的选择";"28000元/月（押二付一）";"整租";"4室2厅2卫";"164平米";"南北";"高层";"精装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"君临海域 社区新 带泳池 豪装2房出租 全家私家电";"5500元/月（押二付一）";"整租";"2室2厅1卫";"66平米";"南";"低层";"豪华装修";"君临海域公寓 (盐田/沙头角)";"盐田海景二路与海山东二街交汇处"
"实拍金海湾 金域蓝湾 碧海红树园 现代美式风格 干净清爽 即入住";"15500元/月（押二付一）";"整租";"3室2厅2卫";"117平米";"南";"高层";"豪华装修";"金海湾花园 (福田/上下沙)";"沙嘴路和福荣路交汇处"
"《润府一期3房出租》家私家电全齐，拎包入住，看房方便";"20000元/月（押二付一）";"整租";"3室2厅2卫";"113平米";"东北";"低层";"精装修";"润府(一期) (南山/科技园)";"深圳市南山区深科发路与铜鼓路交汇处东北角"
"佳华领汇三房出租，家私家电齐全，急租";"6000元/月（押二付一）";"整租";"3室1厅1卫";"78平米";"西南";"中层";"精装修";"佳华领汇广场 (龙岗/坂田)";"坂田街道吉华路与五和大道交界处西南"
"荣泰园 沙井站物业 精装3房 家电家私齐全 拎包入住，看房有钥匙";"3200元/月（押二付一）";"整租";"3室2厅1卫";"98平米";"南";"中层";"精装修";"荣泰园 (宝安/沙井)";"宝安大道与新沙路交汇处佳华商场对面"
"东方银座超现代复式 2房 全新装修出租";"7200元/月（押二付一）";"整租";"2室2厅1卫";"70平米";"东南";"高层";"精装修";"东方银座公馆 (南山/前海)";"前海路与学府路交汇处以东"
"地铁4号线红山站 安静舒适 出行方便 华业玫瑰四季馨园二期";"7500元/月（押二付一）";"整租";"3室2厅2卫";"96平米";"南北";"中层";"精装修";"华业玫瑰四季二期 (龙华区/民治)";"腾龙路与中梅路交汇处"
"近5/7号线 带家具家电 拎包入住 采光好 业主急租";"5300元/月（押一付一）";"整租";"2室2厅1卫";"72平米";"东";"高层";"精装修";"鸿园居 (罗湖/布心)";"深圳市罗湖区布心路2037号"
"精装一房一厅 业主保养比较好 家私电全齐 拎包入住 地鉄口";"4800元/月（押二付一）";"整租";"1室1厅1卫";"45平米";"南";"中层";"精装修";"韵动家园 (福田/上下沙)";"滨河路与沙嘴路交汇"
"桃源村配套 方大城150米 真正精装 随时看房";"6600元/月（押二付一）";"整租";"3室2厅1卫";"103平米";"南";"中层";"精装修";"鼎胜林栖园 (南山/西丽)";"西丽桃源村西侧龙井路与龙珠四路交汇处"
"景田擎天华庭，福田图书馆旁，2房62平精装修，双景田站旁";"6300元/月（押二付一）";"整租";"2室2厅1卫";"62平米";"南";"中层";"精装修";"擎天华庭 (福田/景田)";"景田路与商报路交汇处"
"不用满城跑 中海华庭有你满意的爱巢 看房方便";"12800元/月（押二付一）";"整租";"2室2厅1卫";"84平米";"南北";"中层";"豪华装修";"中海华庭 (福田/福田中心区)";"民田路89号"
"地铁口精装三房 户型通透 带品牌家私 拎包入住";"6800元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"南";"中层";"精装修";"中航天逸 (龙华区/民治)";"龙华新区人民路与腾龙路交汇东侧"
"皇达东方雅苑 业主 3室2厅1卫 精装修，价格便宜，交通";"14000元/月（押二付一）";"整租";"3室2厅1卫";"101平米";"东南";"高层";"精装修";"皇达东方雅苑 (福田/皇岗)";"益田路与福民路交汇处"
"后海花园里雅居小高层电梯四房，育才三中楼上海月口";"12000元/月（押二付一）";"整租";"4室2厅2卫";"124平米";"南北";"中层";"精装修";"后海花半里 (南山/后海)";"后海路与工业七路交汇处"
"万象城旁都市名园金装一房一厅全齐出租";"5800元/月（押二付一）";"整租";"1室1厅1卫";"50平米";"东";"中层";"精装修";"都市名园 (罗湖/蔡屋围)";"滨河路与宝安南路交汇处"
"东海花园南向3房出租 拎包入住";"14000元/月（押二付一）";"整租";"3室2厅2卫";"123平米";"南";"高层";"精装修";"东海花园 (福田/农科中心)";"香林路与农轩路交汇处"
"地铁口物业 前海金岸 精装单间 家私电器齐全 拎包入住";"3300元/月（押二付一）";"整租";"1室0厅1卫";"30平米";"南";"中层";"精装修";"前海金岸 (南山/南头)";"桃园路与南新路交汇处"
"荣城市春天 豪华型2室双阳台 东南向 直接可以拎包 入住";"14000元/月（押一付三）";"整租";"3室2厅2卫";"100平米";"东南";"高层";"精装修";"荣超城市春天花园 (福田/华强)";"深圳福田区南福华路30号(靠近福田服装市场)"
